"nest_id"	"fate"	"date_on"	"date_off"	"TDR_extended"	"TDR_short"	"TDR_tot"	"NR_extended"	"NR_short"	"nest_age"	"number"
"SAND_2011A_BS_31"	"H"	2011-07-19 07:00:00	"2011-07-20 06:59:00"	422	98	520	1	9	9	13
"SAND_2011A_BS_31"	"H"	2011-07-20 07:00:00	"2011-07-21 06:59:00"	0	304	304	0	35	10	13
"SAND_2011A_BS_31"	"H"	2011-07-21 07:00:00	"2011-07-22 06:59:00"	0	141	141	0	23	11	13
"SAND_2011A_BS_31"	"H"	2011-07-22 07:00:00	"2011-07-23 06:59:00"	0	178	178	0	19	12	13
"SAND_2011A_BS_31"	"H"	2011-07-23 07:00:00	"2011-07-24 06:59:00"	0	250	250	0	30	13	13
"SAND_2011A_BS_31"	"H"	2011-07-24 07:00:00	"2011-07-25 06:59:00"	0	244	244	0	27	14	13
"SAND_2011A_BS_31"	"H"	2011-07-25 07:00:00	"2011-07-26 06:59:00"	241	178	419	1	15	15	13
"SAND_2011A_BS_31"	"H"	2011-07-26 07:00:00	"2011-07-27 06:59:00"	0	293	293	0	27	16	13
"SAND_2011A_BS_31"	"H"	2011-07-27 07:00:00	"2011-07-28 06:59:00"	0	287	287	0	34	17	13
"SAND_2011A_BS_31"	"H"	2011-07-28 07:00:00	"2011-07-29 06:59:00"	366	120	486	1	22	18	13
"SAND_2011A_BS_31"	"H"	2011-07-29 07:00:00	"2011-07-30 06:59:00"	0	260	260	0	33	19	13
"SAND_2011A_BS_31"	"H"	2011-07-30 07:00:00	"2011-07-31 06:59:00"	0	151	151	0	20	20	13
"SAND_2011A_BS_31"	"H"	2011-07-31 07:00:00	"2011-08-01 06:59:00"	0	308	308	0	35	21	13
"SAND_2012A_BS02"	"H"	2012-07-15 02:00:00	"2012-07-16 01:59:00"	0	248	248	0	32	12	10
"SAND_2012A_BS02"	"H"	2012-07-16 02:00:00	"2012-07-17 01:59:00"	0	316	316	0	39	13	10
"SAND_2012A_BS02"	"H"	2012-07-17 02:00:00	"2012-07-18 01:59:00"	0	215	215	0	22	14	10
"SAND_2012A_BS02"	"H"	2012-07-18 02:00:00	"2012-07-19 01:59:00"	0	243	243	0	34	15	10
"SAND_2012A_BS02"	"H"	2012-07-19 02:00:00	"2012-07-20 01:59:00"	0	427	427	0	41	16	10
"SAND_2012A_BS02"	"H"	2012-07-20 02:00:00	"2012-07-21 01:59:00"	0	210	210	0	18	17	10
"SAND_2012A_BS02"	"H"	2012-07-21 02:00:00	"2012-07-22 01:59:00"	0	322	322	0	38	18	10
